type,location,vendor_id,install_date,warranty_period,health_score,health_category,status,condition,description,serial_number,model,manufacturer
Elastic Rail Clip,Fuel Depot U-12,RailTech Industries,2023-06-08,36,81,Good,active,good,Fuel depot rail clip with safety specifications,ERC-006,Safety-Pro,ClipCorp
Rail Pad,Inspection Point V,TrackMaster Corp,2023-08-15,24,96,Excellent,active,excellent,Inspection area pad with monitoring capabilities,RP-006,Monitor-Pro,PadTech
Liner,Emergency Siding W-34,ClipCorp Solutions,2022-07-20,60,55,Ok,active,ok,Emergency siding liner for safety operations,LNR-006,Emergency,LinerCorp
Sleeper,Control Tower X-89,PadTech Industries,2023-04-12,30,83,Good,active,good,Control area sleeper with communication cable routing,SLP-006,Control-Spec,SleeperTech
Elastic Rail Clip,Wash Bay Y-56,RailTech Industries,2023-07-25,36,68,Ok,active,ok,Wash bay rail clip with corrosion resistance,ERC-007,Wash-Resistant,ClipCorp
Rail Pad,Test Track Z-78,TrackMaster Corp,2023-09-18,24,91,Excellent,active,excellent,Test track pad for equipment validation,RP-007,Test-Grade,PadTech
Liner,Overpass Section AA,ClipCorp Solutions,2022-06-15,60,86,Good,active,good,Overpass liner with structural support features,LNR-007,Bridge-Pro,LinerCorp
Sleeper,Underpass Section BB,PadTech Industries,2023-05-22,30,74,Ok,active,ok,Underpass sleeper with drainage considerations,SLP-007,Drainage-Pro,SleeperTech
Elastic Rail Clip,Parking Yard CC-23,RailTech Industries,2023-08-30,36,77,Good,active,good,Parking yard clip for rolling stock storage,ERC-008,Storage-Grade,ClipCorp
Rail Pad,Workshop DD-45,TrackMaster Corp,2023-10-12,24,88,Good,active,good,Workshop rail pad for maintenance operations,RP-008,Workshop-Pro,PadTech
Liner,Signal Bridge EE,ClipCorp Solutions,2022-05-28,60,92,Excellent,active,excellent,Signal bridge liner with cable management,LNR-008,Signal-Pro,LinerCorp
Sleeper,Crossover Point FF,PadTech Industries,2023-06-15,30,65,Ok,active,ok,Crossover sleeper for track intersection,SLP-008,Crossover,SleeperTech
Elastic Rail Clip,Service Road GG-67,RailTech Industries,2023-09-08,36,85,Good,active,good,Service road clip for maintenance vehicle access,ERC-009,Service-Pro,ClipCorp
Rail Pad,Equipment Shed HH,TrackMaster Corp,2023-11-22,24,90,Good,active,excellent,Equipment storage area rail pad,RP-009,Storage-Pro,PadTech
Liner,Access Bridge II-89,ClipCorp Solutions,2022-04-18,60,58,Ok,active,ok,Access bridge liner for personnel crossing,LNR-009,Access-Pro,LinerCorp
Sleeper,Safety Zone JJ-12,PadTech Industries,2023-07-28,30,80,Good,active,good,Safety zone sleeper with emergency features,SLP-009,Safety-Pro,SleeperTech
Elastic Rail Clip,Crane Area KK-34,RailTech Industries,2023-10-15,36,72,Ok,active,ok,Crane area clip for heavy lifting operations,ERC-010,Crane-Spec,ClipCorp
Rail Pad,Buffer Zone LL-56,TrackMaster Corp,2023-12-05,24,94,Excellent,active,excellent,Buffer zone pad for impact absorption,RP-010,Buffer-Pro,PadTech
Liner,Drainage Channel MM,ClipCorp Solutions,2022-03-25,60,87,Good,active,good,Drainage channel liner with water management,LNR-010,Drain-Pro,LinerCorp
Sleeper,Platform Edge NN-78,PadTech Industries,2023-08-18,30,69,Ok,active,ok,Platform edge sleeper with safety barriers,SLP-010,Edge-Safe,SleeperTech
Elastic Rail Clip,Ventilation Shaft OO,RailTech Industries,2023-11-12,36,83,Good,active,good,Ventilation area clip with airflow considerations,ERC-011,Vent-Pro,ClipCorp
Rail Pad,Emergency Exit PP-23,TrackMaster Corp,2024-01-08,24,89,Good,active,good,Emergency exit rail pad with safety certification,RP-011,Emergency-Pro,PadTech
Liner,Cable Duct QQ-45,ClipCorp Solutions,2022-02-14,60,75,Good,active,good,Cable duct liner for electrical systems,LNR-011,Cable-Pro,LinerCorp
Sleeper,Monitoring Station RR,PadTech Industries,2023-09-25,30,86,Good,active,good,Monitoring station sleeper with sensor integration,SLP-011,Monitor-Pro,SleeperTech
Elastic Rail Clip,Fire Station SS-67,RailTech Industries,2023-12-18,36,78,Good,active,good,Fire station area clip with emergency access,ERC-012,Fire-Safe,ClipCorp
Rail Pad,First Aid Point TT,TrackMaster Corp,2024-02-15,24,92,Excellent,active,excellent,First aid point rail pad with medical equipment access,RP-012,Medical-Pro,PadTech
Liner,Communication Tower UU,ClipCorp Solutions,2022-01-20,60,81,Good,active,good,Communication tower liner with signal equipment,LNR-012,Comm-Pro,LinerCorp
Sleeper,Weather Station VV-89,PadTech Industries,2023-10-30,30,73,Ok,active,ok,Weather monitoring sleeper with instrument mounting,SLP-012,Weather-Pro,SleeperTech
Elastic Rail Clip,Security Gate WW-12,RailTech Industries,2024-01-25,36,88,Good,active,good,Security gate clip with access control integration,ERC-013,Security-Pro,ClipCorp
Rail Pad,Visitor Center XX-34,TrackMaster Corp,2024-03-12,24,95,Excellent,active,excellent,Visitor center rail pad with public access considerations,RP-013,Public-Pro,PadTech
Liner,Information Board YY,ClipCorp Solutions,2021-12-18,60,42,retired,critical,Information board liner requiring complete replacement,LNR-013,Info-Pro,LinerCorp
Sleeper,Archive Building ZZ-56,PadTech Industries,2023-11-15,30,84,Good,active,good,Archive building sleeper with document storage access,SLP-013,Archive-Pro,SleeperTech
