type,location,vendor_id,install_date,warranty_period,health_score,status,description,serial_number,model,manufacturer
Rail Pad,Section K,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-04-23,24,90,active,Rail pad RP-2006,RP-2006,RP-PRO,PadTech
Liner,Platform 9,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-05-29,60,82,active,Liner LNR-3006,LNR-3006,LNR-STD,LinerCorp
Sleeper,Section L,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-06-17,30,84,active,Sleeper SLP-4006,SLP-4006,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 10,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-07-19,36,86,active,Elastic clip ERC-1007,ERC-1007,ERC-X7,ClipCorp
Rail Pad,Section M,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-08-01,24,92,active,Rail pad RP-2007,RP-2007,RP-PRO,PadTech
Liner,Bridge-04,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2022-12-05,60,78,needs_maintenance,Liner LNR-3007,LNR-3007,LNR-STD,LinerCorp
Sleeper,Platform 11,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-01-20,30,87,active,Sleeper SLP-4007,SLP-4007,SLP-HD,SleeperTech
Elastic Rail Clip,Section N,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-02-26,36,79,active,Elastic clip ERC-1008,ERC-1008,ERC-X8,ClipCorp
Rail Pad,Section O,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-03-30,24,88,active,Rail pad RP-2008,RP-2008,RP-PRO,PadTech
Liner,Platform 12,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-04-15,60,81,needs_maintenance,Liner LNR-3008,LNR-3008,LNR-STD,LinerCorp
Sleeper,Section P,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-05-22,30,85,active,Sleeper SLP-4008,SLP-4008,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 13,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-06-28,36,83,active,Elastic clip ERC-1009,ERC-1009,ERC-X9,ClipCorp
Rail Pad,Section Q,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-07-16,24,91,active,Rail pad RP-2009,RP-2009,RP-PRO,PadTech
Liner,Bridge-05,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-08-12,60,80,needs_maintenance,Liner LNR-3009,LNR-3009,LNR-STD,LinerCorp
Sleeper,Platform 14,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2022-11-07,30,82,active,Sleeper SLP-4010,SLP-4010,SLP-HD,SleeperTech
Elastic Rail Clip,Section R,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-01-04,36,84,active,Elastic clip ERC-1010,ERC-1010,ERC-X10,ClipCorp
Rail Pad,Section S,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-02-13,24,90,active,Rail pad RP-2010,RP-2010,RP-PRO,PadTech
Liner,Platform 15,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-03-19,60,79,needs_maintenance,Liner LNR-3010,LNR-3010,LNR-STD,LinerCorp
Sleeper,Section T,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-04-25,30,86,active,Sleeper SLP-4011,SLP-4011,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 16,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-05-27,36,85,active,Elastic clip ERC-1011,ERC-1011,ERC-X11,ClipCorp
Rail Pad,Section U,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-06-15,24,92,active,Rail pad RP-2011,RP-2011,RP-PRO,PadTech
Liner,Bridge-06,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-07-21,60,77,needs_maintenance,Liner LNR-3011,LNR-3011,LNR-STD,LinerCorp
Sleeper,Platform 17,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-08-29,30,88,active,Sleeper SLP-4012,SLP-4012,SLP-HD,SleeperTech
Elastic Rail Clip,Section V,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-01-11,36,81,active,Elastic clip ERC-1012,ERC-1012,ERC-X12,ClipCorp
Rail Pad,Section W,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-02-07,24,89,active,Rail pad RP-2012,RP-2012,RP-PRO,PadTech
Liner,Platform 18,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-03-03,60,80,needs_maintenance,Liner LNR-3012,LNR-3012,LNR-STD,LinerCorp
Sleeper,Section X,3fa85f64-5717-4562-b3fc-2c963f66afa6,2023-04-09,30,83,active,Sleeper SLP-4013,SLP-4013,SLP-HD,SleeperTech
Elastic Rail Clip,Platform 19,2c9f1e8a-8a1d-4c2a-9f5b-1f1b8c9d4e11,2023-05-11,36,87,active,Elastic clip ERC-1013,ERC-1013,ERC-X13,ClipCorp
Rail Pad,Section Y,4b6d9a12-3f3b-4d9d-9c3e-0c1a2b3c4d55,2023-06-23,24,90,active,Rail pad RP-2013,RP-2013,RP-PRO,PadTech
Liner,Bridge-07,6a7b8c9d-0e1f-4a2b-8c7d-9e0f1a2b3c44,2023-07-29,60,78,needs_maintenance,Liner LNR-3013,LNR-3013,LNR-STD,LinerCorp
Sleeper,Platform 20,5d2a1f3b-6c7d-4e8f-9b0a-1c2d3e4f5a66,2023-08-30,30,85,active,Sleeper SLP-4014,SLP-4014,SLP-HD,SleeperTech
